nom;millesime;region;couleur;domaine
Condrieu  ;2011/2013;Vallée du Rhône;Blanc;Maison Guigal
Côte Rotie Brune et Blonde   ;2006;Vallée du Rhône;Rouge;Maison Guigal
Hermitage  ;2004;Vallée du Rhône;Rouge;Maison Guigal
"Côte Rotie  ""La Landonne"" AOC (Sur Quotas)";Sur Demande;Vallée du Rhône;Rouge;Maison Guigal
"Côte Rotie  ""La Mouline"" AOC  (Sur Quotas)";Sur Demande;Vallée du Rhône;Rouge;Maison Guigal
"Côte Rotie  ""La Turque"" AOC  (Sur Quotas)";Sur Demande;Vallée du Rhône;Rouge;Maison Guigal
Chateauneuf du Pape Les Sinards  ;2006;Vallée du Rhône;Rouge;Maison Perrin Beaucastel
Chateauneuf du Pape Les Chapoins (Selection parcellaires);2006;Vallée du Rhône;Rouge;Maison Perrin Beaucastel
Chateauneuf du Pape  Ch de Beaucastel   AOC  (Stock Limité);2010;Vallée du Rhône;Blanc;Maison Perrin Beaucastel
Chateauneuf du Pape  Ch de Beaucastel   AOC (Stock Limité);1998/1999;Vallée du Rhône;Rouge;Maison Perrin Beaucastel
Chateauneuf du Pape  Cuvée Hommage à Jacques Perrin  (Stock Limité);2013;Vallée du Rhône;Rouge;Maison Perrin Beaucastel
Roussanne vieilles vignes (75 Ans) (cépage 100% Roussanne);2013;Vallée du Rhône;Blanc;Maison Perrin Beaucastel
Côtes du Rhone Réserve;0;Vallée du Rhône;?;Maison Perrin Beaucastel
Côtes du Rhone Cuvée Coudoulet de Beaucastel;2011;Vallée du Rhône;?;Maison Perrin Beaucastel
Côtes du Rhone-Village Vinsobres Vieilles Vignes (Selections Parcellaires);2012;Vallée du Rhône;?;Maison Perrin Beaucastel
Gigondas La Grille;2012;Vallée du Rhône;Rouge;Maison Perrin Beaucastel
Gigondas Clos des Tourelles (Selection Parcellaires);2012;Vallée du Rhône;?;Maison Perrin Beaucastel
Gigondas L'Argnee (Selection Parcellaires);2012;Vallée du Rhône;?;Maison Perrin Beaucastel
Ardeche Chardonnay  ;;Bourgogne;Blanc;Maison Louis Latour
Bourgogne chardonnay  ;;Bourgogne;Blanc;Maison Louis Latour
Bourgogne Pinot noir  ;;Bourgogne;Rouge;Maison Louis Latour
Montagny Cote Chalonnaise  ;;Bourgogne;Blanc;Maison Louis Latour
Marsannay Cote de Nuits  ;;Bourgogne;Rouge;Maison Louis Latour
"St Véran ""les deux moulins""   ";2014;Bourgogne;Blanc;Maison Louis Latour
"Beaune  ""St Désiré"" ";2010;Bourgogne;Blanc;Maison Louis Latour
"Meursault 1er cru"" les charmes"" ";2012;Bourgogne;Blanc;Maison Louis Latour
"Puligny Montrachet 1er cru ""les truffieres""   ";2010;Bourgogne;Blanc;Maison Louis Latour
Aloxe-Corton 1er cru ;2011;Bourgogne;Rouge;Maison Louis Latour
Gevrey Chambertin    ;2011;Bourgogne;Rouge;Maison Louis Latour
"Pommard 1er cru  ""Les Epenots ""  ";2012;Bourgogne;Rouge;Maison Louis Latour
"Volnay 1ER CRU ""les mitrans"" ";2008;Bourgogne;Rouge;Maison Louis Latour
Corton Grancey  GRD CRU   ;2008;Bourgogne;Rouge;Maison Louis Latour
Petit Chablis ;;Bourgogne;Blanc;Maison Laroche
Chablis  ;;Bourgogne;Blanc;Maison Laroche
Chablis 1er CRU CHANTRERIE ;;Bourgogne;Blanc;Maison Laroche
Chablis Grand Regnard ;2014;Bourgogne;Blanc;Maison La Doucette
Chablis Grand Regnard  ;2014;Bourgogne;Blanc;Maison La Doucette
Sylvaner Milles Klipfel;;Alsace;Blanc;"Maison Klipfel Clos Zisser ""Monopole"" Since 1824"
Riesling Milles Klipfel;;Alsace;Blanc;"Maison Klipfel Clos Zisser ""Monopole"" Since 1825"
Gewurztraminer Milles Klipfel;;Alsace;Blanc;"Maison Klipfel Clos Zisser ""Monopole"" Since 1826"
Beaujolais Village  ;0;Beaujolais;Rouge;Maison Duboeuf Gamme Fleur
Brouilly Gamme  ;0;Beaujolais;Rouge;Maison Duboeuf Gamme Fleur
Fleurie ;0;Beaujolais;Rouge;Maison Duboeuf Gamme Fleur
Macon Village;0;Beaujolais;Blanc;Maison Duboeuf Gamme Fleur
St Veran;0;Beaujolais;Blanc;Maison Duboeuf Gamme Fleur
Pouilly Fuisse ;0;Beaujolais;Blanc;Maison Duboeuf Gamme Fleur
Sauvignon Le Mont BIO ;0;Loire;Blanc;Maison Foucher
Saumur Champigny Petit Clos BIO  ;0;Loire;Rouge;Maison Foucher
Sancerre Le Mont  ;0;Loire;Blanc;Maison Foucher
Pouilly Fumé les Vieilles vignes ;0;Loire;Blanc;Maison Foucher
Pouilly Fumé ;2014;Loire;Blanc;Maison La Doucette
Pouilly Fumé ;2014;Loire;Blanc;Maison La Doucette
"Pouilly Fumé ""Baron de L""   ";2012;Loire;Blanc;Maison La Doucette
"Pouilly Fumé ""Baron de L""   ";2012;Loire;Blanc;Maison La Doucette
"Sancerre  Comte Lafond ""grande cuvée"" ";2013;Loire;Blanc;Maison La Doucette
"Sancerre  Comte Lafond ""grande cuvée""  ";2013;Loire;Blanc;Maison La Doucette
Agneau ;;Bordeaux;Rouge;Sélection
